Date,Open,High,Low,Close,Volume,ADV20,Return,Ticker,Index_Name,GICS_Sector,Event_Type,strategy_1_n,strategy_1,strategy_1_md,Volatility
9/9/2024,10.85000038,11.22999954,10.85000038,11.22000027,44496200,27566075,0.038888895,AAL,S&P MidCap 400,Industrials,Index Review,1,0,0.034101371,0.018803998
9/10/2024,11.21000004,11.25,10.86999989,10.98999977,31767700,27664900,-0.020499152,AAL,S&P MidCap 400,Industrials,Index Review,2,-0.020499153,0.006451585,0.018395954
9/11/2024,10.94999981,11.01000023,10.48999977,10.77000046,40526800,28195145,-0.020018136,AAL,S&P MidCap 400,Industrials,Index Review,3,-0.020018136,-0.002457755,0.019024623
9/12/2024,11.02999973,11.14000034,10.43000031,10.88000011,37878400,28610330,0.010213524,AAL,S&P MidCap 400,Industrials,Index Review,4,0.010213523,0.000691238,0.018844043
9/13/2024,10.97999954,11.18000031,10.60999966,10.68999958,36956000,28842765,-0.017463284,AAL,S&P MidCap 400,Industrials,Index Review,5,-0.017463284,-0.002949323,0.018105761
9/16/2024,10.64999962,10.86999989,10.61999989,10.81000042,31026800,28624620,0.011225523,AAL,S&P MidCap 400,Industrials,Index Review,6,0.011225523,-0.000614439,0.018114747
9/17/2024,10.98999977,11.26000023,10.94999981,11.17000008,38180000,29014615,0.033302465,AAL,S&P MidCap 400,Industrials,Index Review,7,0.033302465,0.004213294,0.018659209
9/18/2024,11.23999977,11.28999996,10.92000008,11.02999973,37396500,29707570,-0.012533603,AAL,S&P MidCap 400,Industrials,Index Review,8,-0.012533603,0.002073725,0.018989473
9/19/2024,11.31999969,11.39000034,11.06000042,11.10999966,34544400,30423105,0.00725294,AAL,S&P MidCap 400,Industrials,Index Review,9,0.00725294,0.002662563,0.018937879
9/20/2024,11.06999969,11.11999989,10.88000011,11.01000023,165832100,37433475,-0.009000849,AAL,S&P MidCap 400,Industrials,Index Review,10,-0.009000849,0.001474653,0.017985651
9/23/2024,11,11.02999973,10.76000023,10.97999954,30785100,37740730,-0.002724858,AAL,S&P MidCap 400,Industrials,Index Review,11,-0.002724858,0.001089226,0.017384909
5/6/2024,75.06811802,80.42727011,73.9304205,76.04613495,3259600,759290,-0.028061401,AAON,S&P MidCap 400,Industrials,Corporate Action,1,0,0.013028393,0.035353994
5/7/2024,76.11599426,78.46125529,74.8585439,78.30157471,13640200,1397780,0.029658835,AAON,S&P MidCap 400,Industrials,Corporate Action,2,0.029658835,0.021536817,0.035802053
5/8/2024,77.47325613,78.15188346,76.33555849,76.83454895,884100,1412570,-0.018735584,AAON,S&P MidCap 400,Industrials,Corporate Action,3,-0.018735584,0.00784368,0.035793143
